"cluster","diagnosis_level","proportion"
"1","0",0.321
"2","0",0.718
"1","1",0.209
"2","1",0.16
"1","2",0.201
"2","2",0.049
"1","3",0.187
"2","3",0.061
"1","4",0.082
"2","4",0.012
